city_std,city_clean,number_of_extreme_events,median_uncovered_impact_share,mean_uncovered_impact_share,median_population_exposure_outside,median_road_exposure_outside,median_function_exposure_outside,proportion_events_uncovered_share_gt_25,proportion_events_uncovered_share_gt_50
渭南,渭南市,2,0.5852272727272727,0.5852272727272727,0.4310843107004738,0.7183218658361614,0.43644529989288705,1.0,1.0
襄阳,襄阳市,4,0.5742115027829313,0.6464807513914657,0.4978804202217867,0.6227180445519916,0.3975653852787985,1.0,0.5
福州,福州市,5,0.5714285714285714,0.5585614385614386,0.4743886734357751,0.5281079392821892,0.4697943967832783,1.0,0.6
乐山,乐山市,2,0.5666666666666667,0.5666666666666667,0.695672418455435,0.4726648161283826,0.381923868711459,1.0,0.5
北海,北海市,3,0.5555555555555556,0.5074074074074074,0.5733283428330039,0.5200766777669041,0.441321044546851,1.0,0.6666666666666666
海口,海口市,7,0.5526315789473685,0.5317405546610658,0.5601157450511832,0.518798621471482,0.4362505553087517,1.0,0.7142857142857143
蚌埠,蚌埠市,2,0.5333333333333333,0.5333333333333333,0.4641428247576108,0.456847422831068,0.45103086909407847,1.0,0.5
枣庄,枣庄市,2,0.5192307692307692,0.5192307692307692,0.417032053632154,0.21113606439446064,0.7131905871282951,1.0,0.5
郑州,郑州市,9,0.5189873417721519,0.5012847360462266,0.28571658523823124,0.4579266440341252,0.31673146534387986,0.8888888888888888,0.5555555555555556
秦皇岛,秦皇岛市,3,0.5,0.40196078431372556,0.7376839598289787,0.42863966850728646,0.4681350954478708,0.6666666666666666,0.3333333333333333
商丘,商丘市,4,0.48684210526315785,0.48974458204334365,0.4832165798101893,0.5259733453180515,0.4527737697255444,0.75,0.25
厦门,厦门市,7,0.4482758620689655,0.43030925013683635,0.11892176875857627,0.36375699693609287,0.32118599791013586,0.8571428571428571,0.14285714285714285
柳州,柳州市,3,0.4,0.43963963963963965,0.6178659777440546,0.5207155415809838,0.20413990007137758,0.6666666666666666,0.3333333333333333
南昌,南昌市,6,0.3878787878787879,0.46576244228418145,0.23926658299433062,0.3385725388607581,0.21784168282020322,1.0,0.3333333333333333
沧州,沧州市,2,0.375,0.375,0.40190787594260075,0.3546743312859697,0.4949417535254445,0.5,0.5
