city_clean,city_std,Event_ID,is_extreme,Event_Peak_Rain,total_affected_grids,total_reports,historical_hotspot_grids,covered_affected_grids,uncovered_affected_grids,impact_coverage_rate,uncovered_impact_share,report_weighted_coverage_rate,report_weighted_uncovered_share,population_exposure_outside_historical_hotspots,road_exposure_outside_historical_hotspots,function_exposure_outside_historical_hotspots,historical_hotspot_definition,event_impact_definition,analysis_scale_m
临沂市,临沂,103,1,51.19245147705078,21,34.0,42,4,17,0.19047619047619047,0.8095238095238095,0.23529411764705882,0.7647058823529411,0.9081762057201931,0.8541025985807142,0.7404605929627879,loo_positive_history_top_20pct,gt0,1000
临沂市,临沂,3467,1,55.131080627441406,8,8.0,43,0,8,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
临沂市,临沂,4955,1,74.95748138427734,47,147.0,39,4,43,0.0851063829787234,0.9148936170212766,0.061224489795918366,0.9387755102040817,0.9722511088896676,0.9363235815354237,0.9075921542103483,loo_positive_history_top_20pct,gt0,1000
丽水市,丽水,3852,1,58.64066696166992,8,17.0,2,1,7,0.125,0.875,0.23529411764705882,0.7647058823529411,0.9251050212107624,1.0,0.788475565280817,loo_positive_history_top_20pct,gt0,1000
乌海市,乌海,3531,1,25.23545455932617,29,125.0,8,5,24,0.1724137931034483,0.8275862068965517,0.376,0.624,0.9333960125695294,0.7730661741831013,0.9601757758857457,loo_positive_history_top_20pct,gt0,1000
乌海市,乌海,5047,1,18.1865463256836,12,62.0,10,5,7,0.4166666666666667,0.5833333333333334,0.5,0.5,0.9289148400153449,0.5775068077939328,0.9122055674518201,loo_positive_history_top_20pct,gt0,1000
乐山市,乐山,4082,1,52.93716430664063,3,10.0,11,1,2,0.3333333333333333,0.6666666666666666,0.6,0.4,0.8260947395580489,0.41229547220460516,0.4605110336817654,loo_positive_history_top_20pct,gt0,1000
乐山市,乐山,4128,1,57.51617813110352,15,59.0,11,8,7,0.5333333333333333,0.4666666666666667,0.559322033898305,0.4406779661016949,0.5652500973528211,0.5330341600521601,0.3033367037411527,loo_positive_history_top_20pct,gt0,1000
九江市,九江,1835,1,89.90491485595705,22,34.0,9,4,18,0.18181818181818182,0.8181818181818182,0.2647058823529412,0.7352941176470589,0.8781629345109394,0.7705735671003643,0.8145999064108563,loo_positive_history_top_20pct,gt0,1000
九江市,九江,2358,1,83.37647247314453,3,3.0,11,1,2,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5823865553626368,0.34350927392103925,0.8964635705155518,loo_positive_history_top_20pct,gt0,1000
